Team,W,L,ERA,SO,WHIP,FIP
Giants,91,71,4.34,1020,1.39,4.31
Phillies,86,76,4.47,1070,1.36,4.65
Rangers,89,73,4.54,979,1.45,4.64
Yankees,101,61,4.69,1058,1.37,4.27
Orioles,78,84,4.71,1090,1.49,4.52
Mariners,63,99,4.76,1036,1.42,4.85
Indians,80,82,4.82,1115,1.45,4.62
Devil Rays,70,91,4.82,923,1.44,4.93
White Sox,83,79,4.91,1013,1.42,4.87
Tigers,72,90,4.93,995,1.44,4.6
Blue Jays,67,94,4.93,956,1.49,4.77
Diamondbacks,51,111,4.98,1153,1.5,4.78
Royals,58,104,5.16,887,1.52,4.92
Reds,76,86,5.21,992,1.5,5.1
Rockies,68,94,5.54,947,1.62,5.13
Cardinals,100,62,3.49,974,1.27,4.09
Astros,89,73,3.52,1164,1.23,3.84
Indians,93,69,3.61,1050,1.22,3.92
White Sox,99,63,3.61,1040,1.25,4.12
Angels,95,67,3.68,1126,1.27,3.89
Athletics,88,74,3.7,1075,1.25,4.08
Twins,83,79,3.72,965,1.23,4
Mets,83,79,3.77,1012,1.31,3.98
Nationals,81,81,3.87,997,1.37,4.16
Brewers,81,81,3.98,1173,1.36,4.2
Braves,90,72,3.98,929,1.39,4.19
Blue Jays,80,82,4.06,958,1.33,4.42
Padres,82,80,4.13,1133,1.34,3.9
Marlins,83,79,4.19,1125,1.4,3.81
Cubs,79,83,4.19,1256,1.34,4.26
Phillies,88,74,4.21,1159,1.3,4.29
Giants,75,87,4.35,972,1.42,4.35
Dodgers,71,91,4.38,1004,1.33,4.4
Pirates,67,95,4.44,958,1.44,4.57
Mariners,69,93,4.49,892,1.39,4.56
Tigers,71,91,4.52,907,1.37,4.57
Yankees,95,67,4.54,985,1.37,4.28
Orioles,74,88,4.56,1052,1.43,4.51
Red Sox,95,67,4.74,959,1.39,4.28
Diamondbacks,77,85,4.87,1038,1.45,4.55
Rangers,79,83,4.97,932,1.47,4.37
Rockies,67,95,5.14,981,1.55,4.7
Reds,73,89,5.18,955,1.5,4.87
Devil Rays,67,95,5.4,949,1.54,4.89
Royals,56,106,5.56,924,1.57,4.74
Tigers,95,67,3.85,1003,1.32,4.32
Padres,88,74,3.88,1097,1.27,4.27
Twins,96,66,3.95,1164,1.28,3.99
Angels,89,73,4.04,1164,1.29,4.03
Astros,82,80,4.09,1160,1.3,4.27
Mets,97,65,4.16,1161,1.32,4.37
Athletics,93,69,4.22,1003,1.41,4.42
Dodgers,88,74,4.23,1068,1.38,4.13
Marlins,78,84,4.37,1088,1.46,4.59
Blue Jays,87,75,4.37,1076,1.37,4.51
Yankees,97,65,4.43,1019,1.36,4.42
Indians,78,84,4.43,948,1.41,4.34
Diamondbacks,76,86,4.49,1115,1.4,4.34
Reds,80,82,4.53,1053,1.41,4.69
Cardinals,83,78,4.54,970,1.38,4.77
Pirates,67,95,4.55,1060,1.51,4.53
Braves,79,83,4.6,1049,1.46,4.65
Mariners,78,84,4.6,1067,1.42,4.59
Rangers,80,82,4.61,972,1.44,4.44
Phillies,85,77,4.61,1138,1.42,4.65
White Sox,90,72,4.61,1012,1.36,4.56
Giants,76,85,4.64,992,1.4,4.52
Rockies,76,86,4.66,952,1.45,4.51
Cubs,66,96,4.74,1250,1.45,4.88
Red Sox,86,76,4.83,1070,1.44,4.5
Brewers,75,87,4.83,1145,1.38,4.39
Devil Rays,61,101,4.97,979,1.55,4.83
Nationals,71,91,5.03,960,1.48,4.97
Orioles,70,92,5.35,1016,1.54,5.09
Royals,62,100,5.67,904,1.6,5.29
Padres,89,74,3.72,1136,1.27,3.81
Red Sox,96,66,3.87,1149,1.27,4.14
Blue Jays,83,79,4,1067,1.29,4.28
Cubs,85,77,4.04,1211,1.32,4.36
Indians,96,66,4.05,1047,1.32,4.06
Braves,84,78,4.11,1106,1.36,4.45
Diamondbacks,90,72,4.13,1088,1.38,4.52
Twins,79,83,4.18,1094,1.34,4.37
Giants,71,91,4.2,1057,1.4,4.3
Dodgers,82,80,4.2,1184,1.35,4.07
Angels,94,68,4.23,1156,1.36,4.1
Mets,88,74,4.27,1134,1.37,4.46
Athletics,76,86,4.3,1036,1.38,4.23
Rockies,90,73,4.32,967,1.36,4.52
Brewers,83,79,4.44,1174,1.4,4.22
Yankees,94,68,4.5,1009,1.43,4.51
Royals,69,93,4.5,993,1.44,4.55
Nationals,73,89,4.58,931,1.44,4.92
Tigers,88,74,4.58,1047,1.43,4.67
Cardinals,78,84,4.67,945,1.41,4.66
Astros,73,89,4.7,1109,1.42,4.73
Rangers,75,87,4.76,976,1.53,4.83
Phillies,89,73,4.76,1050,1.45,4.86
Mariners,88,74,4.77,1020,1.48,4.42
White Sox,72,90,4.77,1015,1.43,4.56
Pirates,68,94,4.94,997,1.48,4.66
Reds,72,90,4.95,1068,1.44,4.69
Marlins,71,91,4.96,1142,1.58,4.77
Orioles,69,93,5.19,1087,1.52,4.78
Devil Rays,66,96,5.53,1194,1.55,4.7
Blue Jays,86,76,3.49,1184,1.24,3.81
Dodgers,84,78,3.68,1205,1.29,3.67
Rays,97,65,3.82,1143,1.29,4.22
Brewers,90,72,3.87,1110,1.33,4.34
Cubs,97,64,3.87,1264,1.29,4.09
Phillies,92,70,3.89,1081,1.36,4.3
Diamondbacks,82,80,3.99,1229,1.29,3.84
Angels,100,62,4,1106,1.32,4.12
Red Sox,95,67,4.01,1185,1.33,4.09
Athletics,75,86,4.01,1061,1.35,4.19
Mets,89,73,4.07,1181,1.37,4.32
White Sox,89,74,4.11,1147,1.32,4
Twins,88,75,4.18,995,1.35,4.3
Cardinals,86,76,4.2,957,1.38,4.4
Yankees,89,73,4.28,1141,1.36,3.96
Giants,72,90,4.38,1240,1.43,4.24
Astros,86,75,4.39,1095,1.36,4.53
Padres,63,99,4.41,1100,1.39,4.33
Marlins,84,77,4.44,1127,1.4,4.37
Indians,81,81,4.46,986,1.37,4.33
Braves,72,90,4.47,1076,1.41,4.35
Royals,75,87,4.5,1085,1.38,4.21
Reds,74,88,4.55,1227,1.46,4.54
Nationals,59,102,4.66,1063,1.45,4.71
Mariners,61,101,4.73,1016,1.51,4.59
Rockies,74,88,4.77,1041,1.46,4.3
Tigers,74,88,4.91,991,1.51,4.79
Pirates,67,95,5.1,963,1.57,4.84
Orioles,68,93,5.15,922,1.56,5.14
Rangers,79,83,5.37,963,1.58,4.83
Dodgers,95,67,3.41,1272,1.25,3.8
Giants,88,74,3.55,1302,1.28,3.85
Braves,86,76,3.57,1232,1.32,3.66
Cardinals,91,71,3.66,1049,1.3,3.82
Cubs,83,78,3.84,1272,1.32,4.11
Mariners,85,77,3.87,1043,1.3,4.39
White Sox,79,83,4.16,1119,1.35,4.21
Phillies,93,69,4.16,1153,1.35,4.36
Reds,78,84,4.18,1069,1.37,4.63
Rockies,92,70,4.24,1154,1.36,3.96
Yankees,103,59,4.28,1260,1.35,4.32
Athletics,75,87,4.29,1124,1.39,4.1
Marlins,87,75,4.32,1248,1.4,4.15
Tigers,86,77,4.34,1102,1.41,4.53
Red Sox,95,67,4.35,1230,1.41,4.14
Rays,84,78,4.36,1125,1.36,4.37
Padres,75,87,4.37,1187,1.4,4.3
Rangers,87,75,4.38,1016,1.37,4.49
Diamondbacks,70,92,4.44,1158,1.38,4.2
Angels,97,65,4.45,1062,1.41,4.45
Mets,70,92,4.46,1031,1.45,4.5
Blue Jays,75,87,4.47,1181,1.42,4.35
Twins,87,76,4.5,1052,1.38,4.39
Astros,74,88,4.54,1144,1.45,4.35
Pirates,62,99,4.59,919,1.45,4.48
Royals,65,97,4.83,1153,1.46,4.36
Brewers,80,82,4.84,1104,1.47,4.84
Nationals,59,103,5.02,911,1.52,4.82
Indians,65,97,5.07,986,1.51,4.73
Orioles,64,98,5.16,933,1.52,5.03
Giants,92,70,3.36,1331,1.27,3.74
Padres,90,72,3.41,1295,1.25,3.66
